0,11.000000,0.100000,-10.500000,-12.000000,-47.000000
1,4.000000,3.000000,-14.000000,23.000000,-56.000000
2,2.000000,4.000000,-16.000000,47.000000,-56.000000
3,1.000000,6.000000,-12.000000,78.000000,-56.000000
4,9.000000,8.000000,-8.000000,90.000000,-56.000000
5,5.000000,9.000000,-4.000000,21.000000,-56.000000
6,-1.000000,7.000000,0.000000,120.000000,-56.000000
7,2.000000,4.500000,5.000000,67.000000,-56.000000
8,10.000000,2.000000,2.000000,0.000000,-56.000000
9,10.000000,5.000000,9.000000,159.000000,-56.000000
10,12.000000,0.000000,-5.000000,-18.673006,0.000000
11,11.000000,0.100000,-10.500000,-18.904058,0.000000
